,country,date,search_rate
661,CN,Feb 2017,24
662,CN,Mar 2017,31
663,CN,Apr 2017,34
664,CN,May 2017,34
665,CN,Jun 2017,27
666,CN,Jul 2017,27
667,CN,Aug 2017,21
668,CN,Sep 2017,29
669,CN,Oct 2017,18
670,CN,Nov 2017,28
671,CN,Dec 2017,34
672,CN,Jan 2018,23
673,CN,Feb 2018,38
674,CN,Mar 2018,29
675,CN,Apr 2018,31
676,CN,May 2018,33
677,CN,Jun 2018,40
678,CN,Jul 2018,34
679,CN,Aug 2018,32
680,CN,Sep 2018,31
681,CN,Oct 2018,32
682,CN,Nov 2018,37
683,CN,Dec 2018,31
684,CN,Jan 2019,30
685,CN,Feb 2019,54
686,CN,Mar 2019,37
687,CN,Apr 2019,38
688,CN,May 2019,39
689,CN,Jun 2019,52
690,CN,Jul 2019,41
691,CN,Aug 2019,62
692,CN,Sep 2019,51
693,CN,Oct 2019,31
694,CN,Nov 2019,34
695,CN,Dec 2019,43
696,CN,Jan 2020,41
697,CN,Feb 2020,47
698,CN,Mar 2020,42
699,CN,Apr 2020,33
700,CN,May 2020,40
701,CN,Jun 2020,38
702,CN,Jul 2020,31
703,CN,Aug 2020,29
704,CN,Sep 2020,24
705,CN,Oct 2020,36
706,CN,Nov 2020,60
707,CN,Dec 2020,63
708,CN,Jan 2021,58
709,CN,Feb 2021,45
710,CN,Mar 2021,36
711,CN,Apr 2021,39
712,CN,May 2021,37
713,CN,Jun 2021,37
714,CN,Jul 2021,32
715,CN,Aug 2021,32
716,CN,Sep 2021,31
717,CN,Oct 2021,41
718,CN,Nov 2021,44
719,CN,Dec 2021,43
720,CN,Jan 2022,44
721,CN,Feb 2022,45
722,CN,Mar 2022,46
723,CN,Apr 2022,41
724,CN,May 2022,40
725,CN,Jun 2022,34
726,CN,Jul 2022,39
727,CN,Aug 2022,33
728,CN,Sep 2022,37
729,CN,Oct 2022,34
730,CN,Nov 2022,38
731,CN,Dec 2022,36
732,CN,Jan 2023,57
733,CN,Feb 2023,56
734,CN,Mar 2023,47
735,CN,Apr 2023,58
736,CN,May 2023,59
737,CN,Jun 2023,50
738,CN,Jul 2023,44
739,CN,Aug 2023,48
740,CN,Sep 2023,49
741,CN,Oct 2023,57
742,CN,Nov 2023,41
743,CN,Dec 2023,46
744,CN,Jan 2024,52
745,CN,Feb 2024,49
746,CN,Mar 2024,41
747,CN,Apr 2024,48
748,CN,May 2024,50
749,CN,Jun 2024,50
750,CN,Jul 2024,48
751,CN,Aug 2024,49
752,CN,Sep 2024,72
753,CN,Oct 2024,50
754,CN,Nov 2024,68
755,CN,Dec 2024,100
756,FR,Jan 2004,80
757,FR,Feb 2004,80
758,FR,Mar 2004,69
759,FR,Apr 2004,74
760,FR,May 2004,67
761,FR,Jun 2004,65
762,FR,Jul 2004,74
763,FR,Aug 2004,83
764,FR,Sep 2004,61
765,FR,Oct 2004,76
766,FR,Nov 2004,66
767,FR,Dec 2004,59
768,FR,Jan 2005,66
769,FR,Feb 2005,50
770,FR,Mar 2005,49
771,FR,Apr 2005,46
772,FR,May 2005,45
773,FR,Jun 2005,45
774,FR,Jul 2005,51
775,FR,Aug 2005,52
776,FR,Sep 2005,40
777,FR,Oct 2005,44
778,FR,Nov 2005,41
779,FR,Dec 2005,50
780,FR,Jan 2006,47
781,FR,Feb 2006,42
782,FR,Mar 2006,34
783,FR,Apr 2006,34
784,FR,May 2006,31
785,FR,Jun 2006,31
786,FR,Jul 2006,31
787,FR,Aug 2006,36
788,FR,Sep 2006,33
789,FR,Oct 2006,36
790,FR,Nov 2006,34
791,FR,Dec 2006,37
792,FR,Jan 2007,35
793,FR,Feb 2007,35
794,FR,Mar 2007,32
795,FR,Apr 2007,30
796,FR,May 2007,28
797,FR,Jun 2007,29
798,FR,Jul 2007,31
799,FR,Aug 2007,35
800,FR,Sep 2007,30
801,FR,Oct 2007,30
802,FR,Nov 2007,31
803,FR,Dec 2007,35
804,FR,Jan 2008,35
805,FR,Feb 2008,29
806,FR,Mar 2008,28
807,FR,Apr 2008,27
808,FR,May 2008,26
809,FR,Jun 2008,25
810,FR,Jul 2008,30
811,FR,Aug 2008,33
812,FR,Sep 2008,26
813,FR,Oct 2008,30
814,FR,Nov 2008,28
815,FR,Dec 2008,28
816,FR,Jan 2009,28
817,FR,Feb 2009,26
818,FR,Mar 2009,25
819,FR,Apr 2009,25
820,FR,May 2009,24
821,FR,Jun 2009,22
822,FR,Jul 2009,26
823,FR,Aug 2009,32
824,FR,Sep 2009,25
825,FR,Oct 2009,29
826,FR,Nov 2009,27
827,FR,Dec 2009,29
828,FR,Jan 2010,27
829,FR,Feb 2010,29
830,FR,Mar 2010,25
831,FR,Apr 2010,23
832,FR,May 2010,27
833,FR,Jun 2010,26
834,FR,Jul 2010,24
835,FR,Aug 2010,29
836,FR,Sep 2010,25
837,FR,Oct 2010,28
838,FR,Nov 2010,26
839,FR,Dec 2010,27
840,FR,Jan 2011,25
841,FR,Feb 2011,23
842,FR,Mar 2011,22
843,FR,Apr 2011,23
844,FR,May 2011,26
845,FR,Jun 2011,24
846,FR,Jul 2011,27
847,FR,Aug 2011,27
848,FR,Sep 2011,26
849,FR,Oct 2011,25
850,FR,Nov 2011,27
851,FR,Dec 2011,30
852,FR,Jan 2012,28
853,FR,Feb 2012,25
854,FR,Mar 2012,25
855,FR,Apr 2012,25
856,FR,May 2012,26
857,FR,Jun 2012,23
858,FR,Jul 2012,25
859,FR,Aug 2012,25
860,FR,Sep 2012,25
861,FR,Oct 2012,26
862,FR,Nov 2012,24
863,FR,Dec 2012,30
864,FR,Jan 2013,28
865,FR,Feb 2013,27
866,FR,Mar 2013,29
867,FR,Apr 2013,25
868,FR,May 2013,26
869,FR,Jun 2013,23
870,FR,Jul 2013,22
871,FR,Aug 2013,27
872,FR,Sep 2013,23
873,FR,Oct 2013,25
874,FR,Nov 2013,32
875,FR,Dec 2013,28
876,FR,Jan 2014,25
877,FR,Feb 2014,25
878,FR,Mar 2014,24
879,FR,Apr 2014,24
880,FR,May 2014,24
881,FR,Jun 2014,22
882,FR,Jul 2014,24
883,FR,Aug 2014,29
884,FR,Sep 2014,24
885,FR,Oct 2014,24
886,FR,Nov 2014,31
887,FR,Dec 2014,26
888,FR,Jan 2015,26
889,FR,Feb 2015,28
890,FR,Mar 2015,24
891,FR,Apr 2015,26
892,FR,May 2015,25
893,FR,Jun 2015,25
894,FR,Jul 2015,25
895,FR,Aug 2015,26
896,FR,Sep 2015,26
897,FR,Oct 2015,26
898,FR,Nov 2015,24
899,FR,Dec 2015,27
900,FR,Jan 2016,28
901,FR,Feb 2016,30
902,FR,Mar 2016,30
903,FR,Apr 2016,29
904,FR,May 2016,26
905,FR,Jun 2016,27
906,FR,Jul 2016,25
907,FR,Aug 2016,26
908,FR,Sep 2016,26
909,FR,Oct 2016,24
910,FR,Nov 2016,34
911,FR,Dec 2016,29
912,FR,Jan 2017,27
913,FR,Feb 2017,25
914,FR,Mar 2017,24
915,FR,Apr 2017,25
916,FR,May 2017,23
917,FR,Jun 2017,24
918,FR,Jul 2017,26
919,FR,Aug 2017,28
920,FR,Sep 2017,29
921,FR,Oct 2017,24
922,FR,Nov 2017,26
923,FR,Dec 2017,29
924,FR,Jan 2018,26
925,FR,Feb 2018,24
926,FR,Mar 2018,28
927,FR,Apr 2018,28
928,FR,May 2018,23
929,FR,Jun 2018,22
930,FR,Jul 2018,22
931,FR,Aug 2018,28
932,FR,Sep 2018,25
933,FR,Oct 2018,26
934,FR,Nov 2018,37
935,FR,Dec 2018,28
936,FR,Jan 2019,28
937,FR,Feb 2019,30
938,FR,Mar 2019,29
939,FR,Apr 2019,32
940,FR,May 2019,30
941,FR,Jun 2019,39
942,FR,Jul 2019,37
943,FR,Aug 2019,35
944,FR,Sep 2019,29
945,FR,Oct 2019,31
946,FR,Nov 2019,30
947,FR,Dec 2019,34
948,FR,Jan 2020,34
949,FR,Feb 2020,29
950,FR,Mar 2020,34
951,FR,Apr 2020,35
952,FR,May 2020,36
953,FR,Jun 2020,30
954,FR,Jul 2020,31
955,FR,Aug 2020,32
956,FR,Sep 2020,30
957,FR,Oct 2020,33
958,FR,Nov 2020,66
959,FR,Dec 2020,74
960,FR,Jan 2021,82
961,FR,Feb 2021,83
962,FR,Mar 2021,74
963,FR,Apr 2021,67
964,FR,May 2021,54
965,FR,Jun 2021,44
966,FR,Jul 2021,49
967,FR,Aug 2021,45
968,FR,Sep 2021,47
969,FR,Oct 2021,44
970,FR,Nov 2021,58
